Source,α (J2000) 17h45m,δ (J2000) −29 00 ◦ ′,Sample (beam),Emission Line,TL (mJy),v (km/s),∆v (km/s),ISiO/ISO
N3,40.62,24.05,1.00,SiO 7–6,58.6 ± 3.6,-25.56,27.6,
IRS7,40.04,22.76,1.00,SO 8(7)–7(6),16.3 ± 3.1,32.80,20.9,
N8,40.85,12.88,1.00,SiO 7–6,21.29 ± 9.9,39.52,11.8,0.44 ± 0.22
N8,40.85,12.88,1.00,SO 8(7)–7(6),38.3 ± 7.7,38.73,15.0,
N7a,40.88,12.23,10.65,SiO 7–6,8.40 ± 0.92,41.23,13.9,0.48 ± 0.06
N7a,40.88,12.23,10.65,SO 8(7)–7(6),14.9 ± 0.78,40.16,16.2,
N7b,41.04,13.24,19.59,SiO 7–6,7.22 ± 0.43,39.33,13.9,0.60 ± 0.04
N7b,41.04,13.24,19.59,SO 8(7)–7(6),10.8 ± 0.39,41.12,15.5,
N7b,41.04,13.24,19.59,"CH3OH2 2(1,1)–2(0,2)",5.5 ± 0.70,37.68,8.68,
G1,43.92,28.07,14.8,SiO 7–6,5.84 ± 0.42,67.47,35.4,0.88 ± 0.08
G1,43.92,28.07,14.8,SO 8(7)–7(6),7.77 ± 0.5,64.58,30.3,
G1,43.92,28.07,14.8,"CH3OH2 2(1,1)-2(0,2)",4.49 ± 0.47,59.29,31.7,
G2,43.77,16.19,73.6,SiO 7–6,9.53 ± 0.10,56.84,19.7,-0.75 ± -0.01
G2,43.77,16.19,73.6,SO 8(7)–7(6),16.7 ± 0.13,55.64,-15.0,
G2,43.77,16.19,73.6,"CH3OH2 2(1,1)–2(0,2)",9.57 ± 0.12,56.14,15.6,
G2,43.77,16.19,73.6,"H2CS 9(1,9)–8(1,8)",6.6 ± 0.19,54.66,9.99,
G2,43.77,16.19,73.6,OCS 25–24,1.72 ± 0.16,54.34,12.5,
G3a,43.82,25.43,1.59,SiO 7–6,32.2 ± 3.8,53.65,9.86,0.92 ± 0.15
G3a,43.82,25.43,1.59,SO 8(7)–7(6),39.2 ± 4.3,52.77,8.82,
G3a,43.82,25.43,1.59,"CH3OH2 2(1,1)–2(0,2)",29.1 ± 3.9,54.01,9.7,
G3a,43.82,25.43,1.59,"H2CS 9(1,9)–8(1,8)",21.2 ± 4.4,53.24,8.42,
G3b,43.87,26.05,2.24,SiO 7–6,35.1 ± 3.5,56.66,10.6,0.68 ± 0.08
G3b,43.87,26.05,2.24,SO 8(7)–7(6),48.6 ± 3.3,56.98,11.2,
G3b,43.87,26.05,2.24,"CH3OH2 2(1,1)–2(0,2)",22.5 ± 3.0,57.15,12.2,
